Serbian,English
odlaska,departure
године,years
lične,personal
prljava,dirty
desava,desava
mnogih,many
неколико,a few
novčić,coin
fibi,Phoebe
razbio,broke
predao,handed over
ratnik,warrior
trave,grass
optužen,accused
dijego,Diego
zasigurno,for sure
životi,lives
jednostavan,simple
strašna,terrible
propast,ruin
превише,too much
nudi,offers
zalihe,supplies
marko,Marko
francusku,France
faca,facet
cijenim,I appreciate
farmi,farm
момци,the boys
zanimljiv,interesting
vuci,pull
krajnje,extremely
plesati,to dance
mesecu,moon
guraj,push
hitan,emergency
немам,do not have
brajan,Brian
ujaka,uncle
kolače,cookies
uzbuna,alert
zaraditi,earn
razred,class
pazim,I'm watching out
mračno,darkly
šampion,champion
engleskog,english
ubaci,insert
coveka,man
hong,Hong
sumnja,doubt
stopa,Rate
moraće,will have to
obje,both
zamolim,request
plakala,crying
posada,crew
sredili,center
desila,happened
odbiti,refuse
ledi,Lady
sustav,system
priprema,preparation
zvijezda,stars
radu,work in
pićem,drink
publika,audience
коју,which
vara,cheat
pritiska,pressure
pjesmu,song
podneti,submit
ogromne,huge
savršeni,perfect
dona,Dona
frenki,Frenki
upaliti,switch on
uhapsili,arrested
vojniče,soldier
stvaran,real
misao,thought
em,EM
princa,prince
odgovorim,reply
ljubazno,kindly
vlasništvo,possession
hitne,emergency
alkohola,alcohol
pozovemo,we call
četvoro,four
polovina,half
ryan,Ryan
zamisliš,you imagine
hodaš,you walk
hodam,I walk
potrošio,spent
evropi,Europe
udariti,bump
podići,raise
rekord,record
počnite,start
formi,shape
proslavimo,lets celebrate
smisliti,come up with
poglavlje,chapter
curi,leak
majstor,the master
izvukli,pull out
usamljena,lonely
vrt,the garden
drugoga,other
predstavi,present
živio,lived
autom,car
kofer,suitcase
kapiju,gate
šećer,sugar
album,album
nedostaju,miss
kerol,kerol
postići,achieve
baca,throws
isuviše,too much
vjenčanje,wedding
grozan,horrible
prodajem,I sell
jones,Jones
momkom,guy
olovku,pen
kćerku,daughter
oseti,feel
yorku,Yorku
silu,force
biram,I choose
kime,Kyme
igrala,played
zadatku,assignment
farmu,farm
umri,die
princezo,princess
zvoni,ring
svakim,everybody
hladan,cold
stric,uncle
сутра,tomorrow
albert,Albert
troškove,expenses
zlatni,golden
pustinji,desert
straža,watch
predaj,submit
odlicno,perfect
pristala,agreeable
smešna,funny
sopstveni,own
jaki,strong
crnac,black man
zubima,teeth
ostavljaj,leave
set,set
izabrati,pick out
pokušaju,try
uzalud,in vain
noci,noci
izaberi,pick out
jezika,languages
sledeću,next
okean,Ocean
podnijeti,bear
sedmice,weeks
sudeći,judging
nasilja,violence
pristojan,polite
slučajeve,cases
julie,Julie
uznemirena,upset
razmisliti,think
pravac,direction
igračke,toys
желите,you want
tobi,that would
prljavo,dirty
gubitka,loss
ovakvo,like this
zeleni,green
ličnost,personality
stignu,arrive
brinete,brunette
slaba,weak
umru,die
boljeg,better
vid,vid
сигуран,sure
najvećih,the biggest
šolju,cup
programa,program
doneseš,you bring
dean,Dean
zvono,bell
drveće,trees
peni,penny
наш,our
hteti,want
pogoditi,to guess
ugao,angle
dovedem,I bring
sprečiti,prevent
zveri,beasts
kejti,Kati
tragedija,tragedy
scene,scenes
ukrasti,to steal
raju,paradise
mreže,Networks
željeli,wanted
jackie,Jackie
drukčije,otherwise
grešim,I'm wrong
lori,Lori
bolno,painful
čaše,glasses
polovinu,half
maggie,Maggie
buka,noise
prekrasno,gorgeous
toliki,so many
večno,ever after
izvadi,take out
obalu,coast
zamisao,idea
lift,elevator
pucaju,shoot
pretvoriti,convert
prazno,blank
ivici,edge
sopstvenu,own
mušterije,customers
pročitam,read
osećaju,feel
that,that
optuženi,defendant
postavili,set
polazi,departs
kol,kol
ustao,got up
nigdje,nigdje
dosao,come
lijevo,left
flašu,bottle
zeleno,green
grudima,chest
brojevi,numbers
brani,defend
ова,this one
medved,bear
ubijte,kill
potpisati,sign
pole,pole
napustim,I'm leaving
englesku,England
pevam,I sing
pripazi,watch
trake,ribbons
emocije,emotions
is,is
oliver,Oliver
mapu,folder
narodu,nation
kupimo,we buy
vladu,government
napraviću,I will make
pozdravite,greet
ispada,turns out
planirali,planned
svjetlo,light
apartman,apartment
katkad,sometimes
pridružite,Join
prethodno,previous
petnaest,fifteen
ispričam,tell you
vezan,tied
ljutiš,you are angry
вероватно,probably
aferu,affair
smatraju,consider
dovelo,led
svrhu,purpose
američka,american
pij,drink
preuzme,take over
sude,judge
status,status
harper,Harper
odnesi,take away
вама,to you
oluje,storms
šećera,sugar
suncu,sun
popravim,fix
bivšeg,former
rimu,rhyme
toma,tomma
našom,ours
pronađeš,you find
objasnio,explained
pošten,fair
plakati,to cry
zadovoljstvom,pleased
uvo,ear
pušiš,you smoke
obučen,dressed
obični,ordinary
bacim,I'm throwing
tehnologija,technology
svratio,stopped by
krvari,bleeding
zeli,wants
nesreći,accident
odobrenje,approval
reakcija,reaction
sos,sauce
новац,Money
provjeri,check
nisko,low
kakvih,what
junak,hero
lažne,fake
planiram,I'm planning
području,area
verzija,version
odbrana,defense
brdo,hill
čitavu,entire
postojala,existed
visoke,high
prljave,dirty
dogodila,occurred
parka,park
nameravam,I intend to
pametniji,smarter
posete,visits
volju,will
torba,a bag
gubljenje,losing
znakova,signs
stolice,chairs
korisno,useful
milione,millions
lažno,false
običaj,habit
ostatke,remains
borac,fighter
uloge,roles
nemački,German
rita,rita
koledžu,college
incident,incident
žice,wire
chloe,Chloe
padaju,fall
stvarnosti,reality
bežiš,run away
beti,Beti
та,ta
биће,will be
programu,program
klavir,piano
imaj,have
laboratoriji,laboratories
seksualni,sexual
naokolo,round
noćne,nightly
zadnjem,last
donna,Donna
plavo,blue
moralo,morals
vlasnika,owner
uključen,turned on
otvorene,open
odvela,led
rebeka,Rebecca
muzej,Museum
plažu,beach
temperaturu,temperature
rastu,grow
laka,lacquer
čekate,you wait
carstvo,empire
zabavna,fun
teorije,theory
sređeno,arranged
radost,joy
sereš,shit
ros,ros
seća,remembers
nestale,disappeared
učiš,you're studying
prodavnici,shop
potraži,look it up
pile,chicken
osuđen,convicted
rodni,gender
lete,fly
zuba,teeth
prekinuo,interrupted
službeno,officially
avionom,by plane
navečer,night
zub,tooth
smith,Smith
šuti,whip
lanac,chain
londona,London
čuvaš,you keep
obavio,performed
andrea,Andrea
štete,damage
metaka,cartridge
њим,him
razmisliš,you think
radeći,working
т,t
radnici,workers
лоше,Bad
mis,mouse
pođem,I go
počinješ,you're starting
trećeg,third
spolja,outward
pasoš,passport
betty,Betty
očekuju,they expect
x,x
propustiti,miss out
radom,work
vjeruje,he believes
pobegneš,you run away
pobedim,I win
platu,salary
zajebi,fuck
bliži,nearer
shvatite,take
koraka,steps
јесам,I did
lutka,doll
silovao,raped
učiniću,I will do
zubi,teeth
govna,shit
stvarna,real
lokalni,local
odustajem,I'm giving up
човече,man
ritam,rhythm
gosn,Gosn
javila,occured
staviću,I'll put
misterija,mystery
prodam,selling
but,butt
под,floor
firmi,firm
nabavi,acquire
taylor,Taylor
nedeljama,weeks
uspomene,memories
ноћ,night
tretman,treatment
konji,horses
obožava,adores
dolazila,was coming
smatrao,considered
snima,records
salatu,salad
rik,rick
dokument,document
brenda,Brenda
drugarice,mate
obavi,do
znače,mean
pejdž,Paige
grozna,awful
pljačke,robberies
iznenađena,surprised
meč,match
postupak,procedure
održava,maintains
vragu,devil
ratni,war
upropastio,ruined
videćete,you will see
дођи,come over
sporo,slow
mleka,milk
složio,agreed
stvorili,created
veštine,skills
uživa,enjoy
ogromnu,huge
policijom,police
središ,fix
kauču,couch
braun,Brown
ovisi,depends
odbora,committee
право,right
psihijatar,psychiatrist
vodila,led
izgubljena,lost
povreda,injury
zelena,green
poznavala,knew
heroja,hero
тешко,hard
krade,steals
zadužen,indebted
voće,fruit
radilo,worked
ћете,will
popijemo,We have a drink
prodavnicu,shop
vece,the evening
велики,a large
džoi,Joi
medicinska,medical
brian,Brian
bitke,battle
ispadne,turn out
suđeno,destined
lekcija,lesson
hvataj,catch
predstavljam,I
senator,Senator
sumnjivo,suspiciously
stigneš,you get
guverner,governor
upalilo,lit
dečkom,boyfriend
nazovite,call
guma,tire
stena,Stone
upadaj,get in
odeće,clothes
ljubavlju,love
cega,what
banda,gang
skoči,jump
upravlja,manage
žuri,rush
opasni,hazardous
izgubljeni,lost
suludo,crazy
gđe,where
mreža,network
duhova,spirits
dodati,add
slomiti,break
skok,jump
kapu,hat
brži,quick
popila,drunk
ponesi,take
slušalicu,headset
lose,Bad
kampu,camp
pričajte,talk
sira,cheese
predavanja,lectures
stotina,hundred
obavimo,we do
držali,kept
izvučemo,let's get out
odvjetnik,lawyer
carter,Carter
будем,be
josh,Josh
najverovatnije,most likely
probudim,I wake up
savetnik,counselor
džonson,Johnson
gol,gol
ekstra,extra
pica,pizza
garantujem,I guarantee
povezano,connected
re,re
istok,East
èemu,whom
probala,probal
karijera,career
zaključana,locked
hapšenje,arrest
profil,profile
medeni,honey
novaca,money
tisuća,Thousands
zaljubila,fell in love
češće,more often
dozvola,permit
svesni,conscious
božića,Christmas
brinemo,we care
skladu,compliant
pisala,wrote
loših,bad
brza,rapidly
majki,mothers
ričarde,Richard
delom,partly
овамо,here
nudim,I offer
trenutaka,moments
ustanite,Arise
slučajem,CASE
nasa,our
plen,prey
nosimo,we wear
zapadu,west
big,Big
теби,You
načine,ways
oproštaj,forgiveness
prioritet,priority
према,according to
uverim,reassure
letim,flying
divlji,wild
policajaca,police officer
dopustio,let
jezeru,lake
poznavali,knew
slušaju,listen
oteli,kidnapped
stojimo,we stand
hit,hit
неке,some
teče,flowing
prepoznati,recognize
čekaću,I'll wait
naomi,Naomi
љta,what
razreda,grade
nestaje,disappear
divim,wild
jugu,south
obučem,put on
tužioca,prosecutor
udam,marriage
nemojmo,let's not
glasove,votes
elen,elen
dolaska,arrival
проблем,issue
završite,complete
proda,selling
agencija,agency
доста,Enough
životima,lives
преко,across
sviram,I am playing
slucaju,case
zastrašujuće,frightening
pojela,ate
izlazimo,We're going out
bezbedan,safe
požara,fire
stižemo,on our way
napuni,fill it up
vozite,drive
gary,Gary
sid,sid
thomas,Thomas
rock,Rock
plačem,I'm crying
češ,you will
pobediš,you win
šarlot,Charlotte
las,las
uzmu,take
pijani,drunk
kamena,stone
jeff,Jeff
onoliko,as much as
divni,wonderful
lepotice,beauty
ružna,ugly
mišljenju,opinion
чуо,heard
složili,agreed
we,we
značiti,mean
leva,left
roj,swarm
april,April
mudro,wisely
nazove,call
pozvan,invited
poena,points
upucan,shot
pobrinuću,I'll take care of
brodovi,ships
ponosim,proud
stomaku,stomach
patrik,Patrick
primila,received
odgovorni,responsible
stopalo,foot
džoš,Josh
došle,come
marka,brand
beri,berry
ljudskog,human
konobar,a waiter
koliki,how big
privlači,attracted
poljubim,I kiss
raka,cancer
uhapšeni,arrested
нисте,you are not
zamenik,deputy
seli,moving
odvedite,take away
odvratan,disgusting
pokretu,movement
pritvoru,detention
istoku,east
trajalo,lasted
harvi,Harvey
drugome,to another
obući,put on
učiti,to study
stotinu,hundred
ponašao,behave
uvrnuto,weird
gđu,Mrs.
zatvorio,closed
gospodinu,to the Lord
pušim,smoke
zraka,ray
kopija,copy
kokain,cocaine
konju,horse
naprotiv,on the contrary
zanimaju,they are interested in
saro,Saro
von,von
минута,minute
kosom,hair
hoæu,I want
једна,one
imaću,I'll have
karijere,career
jača,stronger
smeje,laugh
sjajni,splendid
kuhinja,kitchen
srušio,crashed
kejsi,Casey
kloi,Chloe
lma,lma
мог,my
mešaj,mix
rene,Rene
porez,tax
mladog,young
muškarcem,man
dno,the bottom
talas,wave
krivu,curve
necemo,We will not
obrazovanje,education
pogrešnom,incorrect
specijalno,specially
guzice,butts
pokvario,spoiled
драго,glad
trava,grass
trku,race
сваки,every
izvanredno,remarkably
okeana,ocean
žurke,parties
divnu,wonderful
povređena,injured
promenili,changed
моју,my
svakome,everyone
ogrlicu,necklace
slabost,weakness
očajan,desperate
дуго,long
delovi,parts
вечерас,tonight
uniformu,uniform
pripadaju,belong to
spisku,list
krenulo,set off
otišlo,left
pokraj,beside
bezbedna,safe
staze,trails
punim,full
povrediš,you hurt
obaveze,obligations
dadilja,nanny
pauza,Pause
kriviti,blame
kiše,rains
ministarstvo,ministry
testove,tests
otici,to go away
odeljenja,wards
sednem,sednem
namere,intentions
pobrinem,take care
kostiju,bone
svome,to his
prijateljski,friendly
probajte,try
izbacili,knocked out
разумем,I understand
ugodno,cozy
имају,have got
naziva,call
pojedi,eat
pratila,followed
такође,Too
sudije,judges
тачно,exactly
sklonište,shelter
predložio,suggested
pogrešili,mistake
naterala,made
žurbi,hurry
skinite,strip off
zmije,snakes
hank,Hank
neprijatelje,enemies
cilja,target
stolica,a chair
karla,Karla
viđaš,you see
psu,psu
mladih,youth
liste,list
dovede,lead
zadržiš,you keep
tomu,to that
odgovornosti,responsibilities
visoki,tall
врло,very
pucam,I'm shooting
prstima,fingers
stvoriti,to create
događaju,event
л,l
liječnik,doctor
slažu,agree
uslovima,terms
plači,crying
popiješ,you drink
uda,married
pepeo,ash
značenje,meaning
filmovima,Movies
stilu,style
sredila,centered
pobedila,won
obrati,turn
кога,whom
pomažu,help
pogrešnu,incorrect
zatvorili,closed
prihvatiš,you accept
šuma,the forest
mrzeo,hated
zamak,the castle
dolazili,coming
terapiju,therapy
meksiku,Mexico
sudbine,fate
štit,shield
vežba,exercise
fil,fil
pridružiš,you join
politički,politically
stvarni,real
suštini,essential
sjednite,Sit down
viđao,saw
upala,inflammation
ulazimo,We are in
člana,article
igrača,player
milijarde,billions
lažu,lie
predavanje,lecture
džeremi,Jeremy
jeftino,cheaply
odgovorna,responsible
slavu,glory
dozvolila,allowed
udovica,widow
drogom,drug
pronađu,find
срање,Shit
man,MAN
šalio,joked
džes,jess
èovek,man
овом,this M
duž,along
jasna,clear
blagi,mild
sedneš,sednesh
vadi,wady
lutke,dummy
puštaj,let go
zadovoljna,satisfied with
promeniš,you change
skočio,jumped
komandant,commander
whoa,Whoa
odlučiš,you decide
brodove,ships
krenu,go
siđi,step down
crnog,black
izgubljeno,lost
prepusti,indulge
vratu,neck
ispitivanja,tests
lepota,beauty
slušate,listen
zagrljaj,hug
prozore,windows
zauzvrat,in return
povredila,injured
bogata,rich
dešavalo,happened
počinio,committed
zona,zone
roy,Roy
pojavljuje,appears
zbunjena,confused
emma,Emma
časova,hours
ljubavnik,lover
list,leaf
grant,grant
radiju,radio
noćni,night
novinari,journalists
slomljena,broken
pošla,flocked
plakao,cried
pređemo,let's move
oženi,marry
udaš,UMA
nadimak,Nickname
lijek,medicine
ponudim,I offer
detalja,detail
rupi,hole
spasimo,Let's save
zoru,dawn
starije,senior
svjetla,lights
sedeti,sit
pisalo,wrote
nora,Nora
kila,kilo
univerzum,the universe
otvaranje,opening
zoi,Zoi
cvet,flower
fredi,Fredi
uništena,destroyed
slep,blind
ubistvu,murder
dolaziti,come
engleska,England
suočiti,confront
proveriću,I will check
ton,tone
životinjama,animals
krađa,stealing
oslobodio,released
miloga,miles
izvučeš,you get out
помоћи,help
dvorište,yard
tlo,ground
osobom,person
yo,yo
sekretarica,secretary
određene,certain
sviraš,you play
zajednice,community
magije,magic
molitve,prayer
tehnologiju,technology
posebne,special
dopalo,liked
pričom,story
bitan,important
mario,Mario
ldemo,let's go
zaštita,protection
strogo,strictly
tržište,market
oficira,officer
ову,this
tona,tons
dajemo,we give
džef,jeff
okrenite,turn
kajl,kyle
današnji,today
две,two
нећеш,you will not
reputaciju,reputation
ford,Ford
dozvoljava,allows
tumor,tumor
seksu,sex
henk,hank
dišem,I breathe
paziš,you look out
помоћ,help
prepoznaješ,you recognize
dag,dag
dvojice,two
pranje,wash
potpuni,complete
podignite,lift
decko,boyfriend
krst,cross
prijaviti,report
pretvori,convert
nadzor,supervision
èekaj,wait for
lepše,nicer
proizvod,product
curo,cur
ostavku,resign
izvora,source
hrabri,brave
наћи,find
добра,good
razumijete,you understand
crnom,black
deli,divide
haljine,dresses
upotrebi,use
nadjem,nad
dečače,boy
šupak,asshole
др,dr
spremne,ready
privatno,private
danijel,Daniel
cudno,weirdly
čuvao,kept
lari,Larry
računam,Counting
zajednički,common
sean,Sean
kloni,stay away from
služio,served
мислите,think
silovanje,rape
ploče,panels
овог,this
zanimljiva,interesting
parking,parking lot
део,a part of
pronađen,found
pacijenata,patients
william,William
svesti,consciousness
krave,cow
zaslužila,deserved
aah,Aah
tihi,silent
tvrde,hard
krajeva,ends
pristojno,decently
lady,Lady
čemo,we will
sačeka,wait
sveštenika,priest
dopasti,like
mars,Mars
pravilno,properly
filip,Filip
mini,mini
snagom,by force
učenik,pupil
površine,surfaces
planovi,plans
napušta,abandon
sačuvaj,save
najlepše,the most beautiful
bacanje,throwing
benzin,petrol
okreće,turns
površinu,surface
otkriće,discovery
krugu,circle
jabuke,apples
crvenu,red
venčanju,wedding
neceš,you will not
prodali,sold
molila,prayer
previse,too much
nemačke,German
rima,rhyme
ubacio,inserted
asistent,assistant
otvorimo,let's open
isplati,pays off
miler,Miller
ides,are you going
касније,later
putnika,passenger
slomila,broke
ubijaš,you're killing
vendi,Wendy
državu,country
slave,glory
saznaj,find out
bake,grandmother
povrijediti,injure
strasti,passions
vođe,leader
detinjstva,childhood
čudi,wonder
ivan,John
tara,tara
naučnik,scientist
koordinate,coordinates
skreni,turn
pošalju,send
vuče,pulling
pojave,phenomena
doco,Doco
spasiš,you rescue
antonio,Antonio
braće,brothers
zahvalni,grateful
jason,Jason
gaćice,panties
posledica,consequence
seri,seri
pokušavaj,try
osoblja,personnel
ličnosti,personality
koštati,cost
olakšanje,relief
ružan,ugly
trudio,trudy
ureda,offices
donji,lower
pojedeš,you eat
nevinost,innocence
platiću,I will pay
kompa,buddy
zmaj,dragon
plašite,you're afraid
osumnjičenog,suspect
isteklo,ran out
hocete,Wants you
nijednu,None
nevina,innocent
lorde,lord
rukopis,manuscript
sredstvo,agent
poljubiti,kiss
očajnički,desperate
rut,rut
vegasu,Vegas
cujem,I hear
briši,erase
komi,coma
kineski,Chinese
mraka,darkness
могли,could
povratku,return
sporazum,agreement
hrabra,brave
sidni,sidney
požurimo,we rush
š,W
miranda,Miranda
živjeli,lived
izađete,you go out
uništava,destroys
opis,description
materijala,materials
delimo,we share
desne,right
pokušavali,tried
cirkus,circus
smijemo,laugh
djed,grandfather
hlače,pants
postaješ,you become
sedišta,seat
uradićemo,We will do
његов,his
osjeća,feel
oduševljen,enthusiastic
poveo,led
podseti,remind
karata,ticket
dobijamo,we get
postavlja,sets
boni,boni
nedostatak,a lack
dokumente,documents
napadaju,attack
srecan,happy
mislima,thoughts
le,le
nijedno,none
praznik,holiday
džejmi,Jamie
zamoliti,to ask for
baby,Baby
nađimo,Let's meet
razmišljanja,thinking
šifru,cipher
doktorka,doctor
utočište,shelter
davao,gave
odgovaraju,correspond to
svemirski,space
generacije,generation
nogom,leg
skineš,you take off
nensi,Nancy
zakleo,swore
ubistava,murders
radno,working
snažno,strongly
pogledu,view
ikoga,anyone
pruža,provides
sjećate,remember
pritisni,push
nastavljamo,we continue
izlaza,exit
kirk,Kirk
dokazao,proven
ćelija,cell
osjećao,felt
ваше,yours
legalno,legally
èak,even
osetiti,to feel
disk,disk
zagrli,hug
najvažnija,most important
tradicija,tradition
lovci,hunters
slušala,listened
pokreta,movement
lewis,Lewis
kuvar,Cook
bacili,threw
živce,nerves
složiti,agree
vojne,military
predam,edge
katie,Katie
rešili,resolve
žensku,female
kupujem,I'm buying
pušenje,smoking
razloge,reasons
dobrovoljno,voluntarily
lokacija,location
engleskom,english
kovčeg,chest
pogon,drive
ken,Ken
blok,block
komšija,neighbor
roberta,roberta
savest,conscience
posebnu,special
pomislili,thought
tone,not that
roger,Roger
površini,surfaces
kolika,how much
duhove,ghosts
zvezdu,star
eksplodira,explodes
нама,to us
članova,Members
izjava,statement
promijenio,has changed
ruža,rose
slikama,pics
dodir,touch
razočaran,dissapointed
duši,soul
ponašati,behave
glavnu,major
prođem,I get through
sedište,head office
terorista,terrorist
pomagao,helped
očisti,cleanse
ruže,roses
sex,sex
besmisleno,senseless
detetom,to the child
vjerovao,believed
uzećemo,we will take
proteklih,past
наше,ours
severu,north
pobedimo,let's win
ulaze,go in
stranci,strangers
neprestano,constantly
obećali,promised
planinu,mountain
pruži,hand
poslednjem,last
dobijaju,they get
supu,soup
nekakva,somewhat
liza,lick
kompliment,compliment
убио,killed
smiriti,calm down
slucaj,the case
rod,gender
erika,Erika
viki,Viki
nauke,science
мали,little
završe,finish
nabavim,get
pecanje,fishing
gurnuo,shoved
izvještaj,report
prilicno,pretty much
једну,one
gosta,guest
dženifer,Jennifer
elizabeth,Elizabeth
užasne,horrible
vojnike,soldiers
baku,baku
walter,Walter
против,against
vampira,vampire
sjediti,sit
robe,goods
prima,receives
odela,suits
bojala,was afraid of
prsta,finger
прави,the real
stranica,page
smeru,to the direction
pucaš,you shoot
politiku,politics
donosim,I bring
ukusa,taste
prestaje,ceases
promašio,missed
kilograma,pounds
znaj,know
brzine,speed
sjesti,sit down
odvjetnika,lawyer
šali,joke
ćeliju,cell
budes,you will
prtljag,baggage
kauč,sofa
čip,chip
džulija,julia
pošaljemo,let us send
tajnom,secret
diler,dealer
sopstvene,own
имали,is there
прво,first
pojede,eat
погледај,take a look at
pesak,sand
надам,I hope
ustati,rise up
sedimo,we are sitting
знамо,I know about
doslovno,literally
prvim,first
izazvao,caused
redom,in order
be,be
odsutan,absent
času,class
pokušat,try
kristina,Christina
krasno,tremely
džordan,jordan
nate,Nate
jabuka,Apple
onamo,there
kat,floors
kombinacija,combination
stajala,stood
zločine,crimes
jordan,Jordan
дете,a child
piju,drink
sjetiti,remember
zoni,zone
prevarant,cheater
muke,muke
prljav,dirty
beleške,notes
pridružio,joined
pružiti,offer
proverili,check
popijem,pop
propustili,missed
partneru,partner
uistinu,truly
poznate,famous
raja,paradise
jedinicu,unit
terry,Terry
izjave,statements
uđu,come in
long,Long
plemena,tribes
sahrani,bury
školski,school
kapije,gates
tepih,carpet
pretpostavimo,suppose
čestitke,congratulations
voltere,Walter
stepenicama,stairs
куће,houses
raskinuli,broke up
viziju,vision
pricam,I'm talking
delova,parts
snimku,shot
učinit,do
izlazio,was going out
lovi,hunt
disanje,breathing
dogovorimo,Let's deal
sačekamo,we wait
mardž,Marge
sjeban,fucked
sveto,all that
pričekajte,Wait
mia,Mia
mome,Mome
raspada,decomposition
tuče,beat
savez,alliance
pajper,piper
pomisliš,you think
prodaješ,you sell
пусти,let go
lopova,thief
razgovaraju,they talk
bejbi,Baby
krova,roof
erin,Erin
pretio,threatened
grof,grof
puste,let go
normalni,normal
zime,winter
džejson,Jason
jesse,Jesse
lav,Lion
džabe,jabe
zmaja,dragon
momku,guy
marie,Marie
studiju,studio
agencije,agencies
poznaju,know
bradu,beard
pomera,move
organizacija,organization
najboljim,best
serija,series
jedete,you eat
stresom,by stress
odrasle,adult
granici,border
prolazu,pass
skote,scotch
vanzemaljci,aliens
pokrenuti,start up
ron,ron
unaokolo,round
ponašaj,behave
opreme,equipment
belu,white
spomenula,mentioned
preti,threatens
pucali,shot
belog,white
мајка,mother
spremim,I'm getting ready
долази,it's coming
kakvoj,what
upoznamo,let's get to know
tajnosti,secrecy
val,wave
kampanju,campaign
medveda,bear
your,your
ploča,plate
instinkt,instinct
napadne,attack
obećanja,promises
vozu,train
dokaže,prove
oslobodite,free up
geri,Gary
morski,marine
ožiljak,scar
zaljubljeni,in love
stiven,Stephen
nivoa,level
potvrdu,confirmation
predomislio,changed his mind
pustiću,I will let
zatvoreno,closed
knjigama,books
besa,besa
sakrij,hide
najveću,biggest
kuhinje,kitchens
kredit,credit
opsednut,obsessed with
traka,tape
pogrešna,incorrect
pogledajmo,let's look
æao,whether
nesporazum,misunderstanding
postigao,achieved
presudu,judgment
svirao,played
uputstva,instructions
he,HPP
pripremiti,prepare
pila,saw
džekson,Jackson
holi,Holly
metal,metal
prija,feels good
odanost,loyalty
rodi,gender
reklama,commercials
maleni,tiny
sally,Sally
nežno,gently
terapija,therapy
objasnite,explain
ponašaju,behave
žurim,I am in a hurry
prešla,exceeded
tatica,daddy
vlak,train
setiti,remember
maska,mask
zarobljen,trapped
proleće,spring
hal,hal
viktor,Victor
prodala,sold
rajli,Riley
pregledao,inspected
odgovoriš,you answer
očekujete,you expect
čuvaju,keep
pričekati,stand by
riki,Ricky
vrtu,garden
ozbiljne,serious
zdrava,healthy
â,Â
napustiš,you leave
prekinem,interrupt
staroj,old
tuš,a shower
gradonačelnika,mayor
posmatra,watches
bojati,be afraid of
prizor,sight
andre,Andre
rizikujem,I am risking
upoznate,get to know
unuka,granddaughter
glasnije,louder
nemačka,Germany
povlačenje,withdrawal
čelu,forehead
jedinu,the only one
pomisliti,think
miš,mouse
poljubila,kisses
bitna,essential
čvrst,sturdy
njujorka,New York
tesko,hard
dugu,long
nazivaš,You call
upozorim,warn
promenimo,let's change
nase,ours
prijavila,reported
posljednja,last
lana,Lana
jezikom,tongue
pop,priest
maske,masks
ogromno,huge
sposobna,capable
okolini,surroundings
uništenje,destruction
južno,southerly
serije,series
rick,Rick
pitaću,ill ask
cetiri,four
skali,scale
profesionalac,professional
prepoznajem,I recognize
povezana,connected
uslove,conditions
setila,setle
angela,Angela
batice,batice
čudni,odd
vida,vision
poludio,crazy
zahvalnost,gratitude
otvorili,opened
boca,a bottle
sudnici,courtroom
spase,save
vince,Vince
glavne,major
drolja,slut
vodič,guide
trud,effort
izluđuje,drives
zameni,replace
adams,Adams
kaliforniji,California
отишао,went away
ugodan,pleasant
rec,Word
poseta,visit
vojna,military
krijem,I'm hiding
senke,shadow
srednju,median
brze,fast
moguce,possible
nestanak,disappearance
veličina,size
božji,god
logan,logan
tužbu,lawsuit
prekršio,breached
jackson,Jackson
otvorenom,open
prijateljstva,Friendship
pisanje,writing
tukao,beat
generacija,generation
anne,Anne
upravu,right
ističe,highlights
propao,fold
baterije,battery
zatvoreni,imprisoned
izlet,picnic
živu,alive
poker,poker
kvin,quinade
božja,God
din,Din
tok,the flow
zvona,ringing
jure,jure
robot,robot
нe,not
miša,mouse
ispala,turned out
navikla,habitually
ма,ma
пар,Couple
paula,Paula
čitanje,reading
након,after
divlja,wild
pokazat,demonstrate
bezbedni,safely
prestali,quit
desetak,a dozen
uzimaju,take
blagoslovi,blessings
dvostruko,double
kum,Godfather
provodi,spend
naporan,tiring
kavez,cage
oduzeti,take away
shvata,realizes
spustiti,put down
prevariti,cheat
šećeru,sugar
opcije,options
platite,pay
доћи,come
cigareta,cigarette
žali,regrets
назад,back
provedi,spend
želeti,to want
pojedem,i eat
radnja,shop
pogodila,hit
smestio,placed
telegram,telegram
mej,May
roštilj,barbecue
premijer,Prime Minister
glupu,stupid
gospođu,lady
priznaš,confess
bebi,baby
vredna,valuable
detektivi,detectives
laboratorija,laboratory
prirodu,nature
penziju,pension
sabrina,Sabrina
nesrećan,unhappy
devica,virgin
pregleda,views
pevaš,you sing
mičite,move
y,y
odaje,gay
krivice,guilt
rakete,rockets
lagali,lied
kretanje,getting around
aerodroma,airport
moćni,mighty
phil,Phil
исто,the same
zaslužuju,they deserve
svedoci,witness
održavanje,maintenance
slučajevima,cases
napisali,wrote
cev,pipe
obavezno,obligatory
sirom,across
debeo,fat
petka,friday
spustio,down
žestoko,fierce
pretvarati,pretend
овако,like this
desert,dessert
džep,pocket
klasa,the class
kristal,crystal
sledećih,the following
zima,winter
moćan,powerful
proizvodi,products
nebesa,heavens
pomerite,move
rudnik,mine
čika,uncle
značku,badge
prstom,finger
polu,gender
ludim,I'm going crazy
nebitno,not important
uđete,come in
druškane,mocked
ludnica,madhouse
ukrade,steals
dlake,hair
